id,checkpoint_id,checkpoint_sha256,scale,family,trained_dose,clipping_p,kind,precision,source,loss,delta_loss_vs_A0,S_model,S_block,zero_products,model_products,block_products,R_arch_actual,R_arch_A7,inference_sites,delta_loss_from_p0,delta_S_from_p0
410M:A4-OL1:0.01,410M:A4-OL1:0.01,3e39cdf852585894618259f991918eb18dd72e3ba3af326e28b62085feb55213,410M,A4-OL1,0.01,,trained,FP16,runs/019-2026-09-01-pythia410m-selected-ladder-canonical-init/artifacts/attempts/004-20260902-141528-94291583,5.691361835722387,1.1439053980556464,0.39149185001875003,0.4487260634273641,109445379532746,279559790395392,243902435033088,0.7477636463214264,0.8724517738696526,"a,m,h,z",,
410M:A4-OL1:0.05,410M:A4-OL1:0.05,89fe9bbd1f2cfbfa1312c501cba6ff7cb0420af5b084cc85f981a9e0b4a303f3,410M,A4-OL1,0.05,,trained,FP16,runs/019-2026-09-01-pythia410m-selected-ladder-canonical-init/artifacts/attempts/005-20260902-142321-7cf051a3,5.678924922407026,1.1314684847402852,0.42124510405287563,0.48282909917701783,117763192994107,279559790395392,243902435033088,0.7477636463214264,0.8724517738696526,"a,m,h,z",,
410M:A4-OL1:0.1,410M:A4-OL1:0.1,58e3ebbe6cfa5fb956c53d9b377660772fa9c6651876ce8fb411f44ea2e19075,410M,A4-OL1,0.1,,trained,FP16,runs/019-2026-09-01-pythia410m-selected-ladder-canonical-init/artifacts/attempts/006-20260902-141530-a96c2fa8,5.67888657016867,1.1314301325019294,0.4568803837042414,0.5236740842164886,127725384304124,279559790395392,243902435033088,0.7477636463214264,0.8724517738696526,"a,m,h,z",,
410M:A4-OL1:0.5,410M:A4-OL1:0.5,228c175ea7bf5cfdc2a4c86040aa7956574b0c6a73d5187f8a140dd653c993f2,410M,A4-OL1,0.5,,trained,FP16,runs/019-2026-09-01-pythia410m-selected-ladder-canonical-init/artifacts/attempts/007-20260902-141528-4cabb868,5.1909658185829075,0.6435093809161669,0.715914446480748,0.8205776730848944,200140892599191,279559790395392,243902435033088,0.7477636463214264,0.8724517738696526,"a,m,h,z",,
410M:A7-OL1:0.0,410M:A7-OL1:0.0,286f39022106c7cdde254e457fa2ebe80f1e28cf1040d0b738c845eccfa9ac45,410M,A7-OL1,0.0,,trained,FP16,runs/019-2026-09-01-pythia410m-selected-ladder-canonical-init/artifacts/attempts/008-20260902-141528-060f246f,5.4262960662503215,0.8788396285835809,0.4112146787868456,0.4713322742905931,114959089409159,279559790395392,243902435033088,0.8724517738696526,0.8724517738696526,"a,m,h,q_post,k_post,v,z",,
410M:A7-OL1:0.01,410M:A7-OL1:0.01,e0b3435582de435fe7c3b6dadc239b8934b0217b8e2f82a396abc3111991a9ce,410M,A7-OL1,0.01,,trained,FP16,runs/019-2026-09-01-pythia410m-selected-ladder-canonical-init/artifacts/attempts/009-20260902-141529-456f896f,5.43313791342741,0.885681475760669,0.4147805603667183,0.4754194704963578,115955966516203,279559790395392,243902435033088,0.8724517738696526,0.8724517738696526,"a,m,h,q_post,k_post,v,z",,
410M:A7-OL1:0.05,410M:A7-OL1:0.05,14a54ec20c1d1b8e671eee4ed7a9afc014bd46a2e902897e31cd7ff61e319b5e,410M,A7-OL1,0.05,,trained,FP16,runs/019-2026-09-01-pythia410m-selected-ladder-canonical-init/artifacts/attempts/010-20260902-141527-e0f8f1e0,5.467853006526563,0.9203965688598226,0.44053172790987316,0.5049353340826495,123154957517004,279559790395392,243902435033088,0.8724517738696526,0.8724517738696526,"a,m,h,q_post,k_post,v,z",,
410M:A7-OL1:0.1,410M:A7-OL1:0.1,247ec8676f71354e52ddc6d2847d65fcd34e9a97eb3e955353a3b4d3a8e67a33,410M,A7-OL1,0.1,,trained,FP16,runs/019-2026-09-01-pythia410m-selected-ladder-canonical-init/artifacts/attempts/011-20260902-141536-6fc9f55e,5.490748997270709,0.9432925596039681,0.4899755173364832,0.5616075661847268,136977452925461,279559790395392,243902435033088,0.8724517738696526,0.8724517738696526,"a,m,h,q_post,k_post,v,z",,
410M:A7-OL1:0.5,410M:A7-OL1:0.5,151c225fe559f3b234f44581dda52c7cbd81cee7804e78034da6f007fc8cb346,410M,A7-OL1,0.5,,trained,FP16,runs/019-2026-09-01-pythia410m-selected-ladder-canonical-init/artifacts/attempts/012-20260902-142107-eaeeec6d,5.120691668705122,0.5732352310383817,0.806155139186339,0.9240111182429454,225368561737101,279559790395392,243902435033088,0.8724517738696526,0.8724517738696526,"a,m,h,q_post,k_post,v,z",,
70M:A0:None,70M:A0:None,f7c80d6a0515a96e8058920dc93079f1f971f6079f4a2cf15dacba51d0e8245c,70M,A0,,,trained,FP16,runs/018-2026-09-01-pythia70m-selected-ladder-canonical-init/artifacts/attempts/001-20260901-133016-4e43b254,4.09976596627715,0.0,4.5409213981255505e-06,9.187703407387679e-06,160072890,35251191545856,17422513864704,0.0,0.49423900585148095,,,
