model_size,condition_id,batch_size,R_model,block_zero_product_count,model_product_count,speedup_median,speedup_p10,speedup_p90,timing_blocks,speedup_block_1,speedup_block_2,speedup_block_3,speedup_block_4,speedup_block_5,speedup_block_6,speedup_block_7,source,source_sha256
70M,a7-ol1-kappa-0p5,1,0.4060187215635989,14312643725042,35251191545856,0.7967820251470462,0.7960789976664502,0.7979159589115083,7,0.7967820251470462,0.799096438949173,0.7964039404225669,0.797128972219732,0.7969094319604323,0.7963053641091014,0.7957394480024732,runs/023-2026-09-04-pythia70m-sakana-sparse-kernel-sentinels/results/raw/a7-ol1-kappa-0p5.json,eb6ba73c15c2a04998b3000405f6e113f974ab62f272fb3316d3aab4874cdbad
70M,a7-ol1-kappa-0p5,32,0.4060187215635989,14312643725042,35251191545856,0.4051819793352992,0.3941125511144554,0.4146223913369268,7,0.3842861264214907,0.41582765503032454,0.4013293237421985,0.41381888220799495,0.4089893276764507,0.4051819793352992,0.40066350090976527,runs/023-2026-09-04-pythia70m-sakana-sparse-kernel-sentinels/results/raw/a7-ol1-kappa-0p5.json,eb6ba73c15c2a04998b3000405f6e113f974ab62f272fb3316d3aab4874cdbad
410M,a0-gelu,1,0.00011047923803103942,30885552627,279559790395392,0.048527661874812174,0.0482836763466652,0.0519360934269745,7,0.048527661874812174,0.04849998897332214,0.04878241854798924,0.05241555670037298,0.04833993322520279,0.048199291028858816,0.051616451244708844,runs/024-2026-09-04-pythia410m-sakana-sparse-kernel-sentinels/results/raw/a0-gelu.json,a1f027849adc8363b999db8d1ec03bfbc827df9b25bfdcb2b51bf15989152c3b
410M,a0-gelu,32,0.00011047923803103942,30885552627,279559790395392,0.15461934478017925,0.14872124133920217,0.15670418669803676,7,0.1570619501653124,0.15461934478017925,0.156465677719853,0.1469192825581232,0.15538565750676891,0.1499225471932548,0.1544581724556464,runs/024-2026-09-04-pythia410m-sakana-sparse-kernel-sentinels/results/raw/a0-gelu.json,a1f027849adc8363b999db8d1ec03bfbc827df9b25bfdcb2b51bf15989152c3b
410M,a1h-relu,1,0.21049725280441106,58846567872807,279559790395392,0.32750238311360985,0.3247023184107951,0.32898180922378195,7,0.32663450585809417,0.32854509083520334,0.32750238311360985,0.32324194621427166,0.32753878596904284,0.3296368868066498,0.32567589987514406,runs/024-2026-09-04-pythia410m-sakana-sparse-kernel-sentinels/results/raw/a1h-relu.json,b79a72af3155e2b5cbaf2cdd35463074609738c52847345840fd4c99a8a82182
410M,a1h-relu,32,0.21049725280441106,58846567872807,279559790395392,0.4776290824028511,0.4771511129769995,0.4816300937528187,7,0.48186460683085075,0.4768400897020821,0.48147375170079726,0.47963642209534146,0.47738506710666384,0.4776290824028511,0.4773584618269444,runs/024-2026-09-04-pythia410m-sakana-sparse-kernel-sentinels/results/raw/a1h-relu.json,b79a72af3155e2b5cbaf2cdd35463074609738c52847345840fd4c99a8a82182
410M,a4-ol1-kappa-0,1,0.3833867333385676,107179514812504,279559790395392,0.0744843695237148,0.07429123694236754,0.07560726868004854,7,0.07550246436062744,0.0744843695237148,0.07416103789871972,0.07437803630479942,0.07501968560919771,0.07442414741502419,0.0757644751591802,runs/024-2026-09-04-pythia410m-sakana-sparse-kernel-sentinels/results/raw/a4-ol1-kappa-0.json,bb80dbf7516b9cfe65d081f8146b58f0929030c0f3d08220fc7e5acd2289c1b3
410M,a4-ol1-kappa-0,32,0.3833867333385676,107179514812504,279559790395392,0.1107765909243972,0.10738398695666693,0.11329437695688455,7,0.10863942987056073,0.1107765909243972,0.10639927245588328,0.11151981712390294,0.11455807733709454,0.11245191003674454,0.10804046329052268,runs/024-2026-09-04-pythia410m-sakana-sparse-kernel-sentinels/results/raw/a4-ol1-kappa-0.json,bb80dbf7516b9cfe65d081f8146b58f0929030c0f3d08220fc7e5acd2289c1b3
410M,a4-ol1-kappa-0p5,1,0.715914446480748,200140892599191,279559790395392,0.2622976195261976,0.26162914751097627,0.26284429381510294,7,0.2622195349586614,0.2630811983905323,0.2626863574314834,0.2622976195261976,0.2624942014296241,0.26161226137899446,0.2616404049322975,runs/024-2026-09-04-pythia410m-sakana-sparse-kernel-sentinels/results/raw/a4-ol1-kappa-0p5.json,d6b0f5860a2c63fa78f1e92b842cb8c48e41fa6ab3c07ecc2350e8a48c79bda2
410M,a4-ol1-kappa-0p5,32,0.715914446480748,200140892599191,279559790395392,0.49891103681412197,0.49617656719436004,0.5029830297472853,7,0.4985413000680937,0.5051866361733862,0.4940049725070045,0.5000510588260527,0.49762429698593047,0.5015139587965513,0.49891103681412197,runs/024-2026-09-04-pythia410m-sakana-sparse-kernel-sentinels/results/raw/a4-ol1-kappa-0p5.json,d6b0f5860a2c63fa78f1e92b842cb8c48e41fa6ab3c07ecc2350e8a48c79bda2
410M,a7-ol1-kappa-0,1,0.4112146787868456,114959089409159,279559790395392,0.08487438216171253,0.08457664546082974,0.08545843010798178,7,0.08536474323065256,0.08537353785912845,0.08487438216171253,0.08458294964112598,0.08456718919038538,0.08479285986126016,0.08558576848126179,runs/024-2026-09-04-pythia410m-sakana-sparse-kernel-sentinels/results/raw/a7-ol1-kappa-0.json,f5261a29ee3b635c3fc0fb98e27f94ab289d70f8657a3b1bfed72082b263b201
410M,a7-ol1-kappa-0,32,0.4112146787868456,114959089409159,279559790395392,0.11838858800060076,0.11493825202337302,0.12025404294815434,7,0.11580331897472575,0.11609718687454303,0.11849268184454975,0.11838858800060076,0.12223055807516797,0.11364065159634391,0.11893636619681193,runs/024-2026-09-04-pythia410m-sakana-sparse-kernel-sentinels/results/raw/a7-ol1-kappa-0.json,f5261a29ee3b635c3fc0fb98e27f94ab289d70f8657a3b1bfed72082b263b201
410M,a7-ol1-kappa-0p5,1,0.806155139186339,225368561737101,279559790395392,0.2805116958085585,0.27975648848532997,0.2808252695848825,7,0.28067505568435386,0.28014197731450563,0.2799316243428805,0.2794937846990042,0.28105059043567554,0.2805116958085585,0.2806170894789609,runs/024-2026-09-04-pythia410m-sakana-sparse-kernel-sentinels/results/raw/a7-ol1-kappa-0p5.json,1da2df490276b5bfafb84b16ea65b6ccf273af93b669ba7f4524b7434c4a5f1e
410M,a7-ol1-kappa-0p5,32,0.806155139186339,225368561737101,279559790395392,0.43174173786283737,0.4265023108878882,0.432482194014017,7,0.43174173786283737,0.4319108227215609,0.4332838433906826,0.4319477610962399,0.43131304819835825,0.4235384314250727,0.4284782305297652,runs/024-2026-09-04-pythia410m-sakana-sparse-kernel-sentinels/results/raw/a7-ol1-kappa-0p5.json,1da2df490276b5bfafb84b16ea65b6ccf273af93b669ba7f4524b7434c4a5f1e
