condition,family,dose,mode,latency_ms,qualified,R_model,zero_products,model_products,speedup_over_native
c10,A1-H+OL1,1.0,fusion_dense,1.8378974637016654,True,0.03938363148105149,250600249250,6363055915008,1.271766605379891
c10,A1-H+OL1,1.0,sparse,1.5636638272553682,False,0.03938363148105149,250600249250,6363055915008,1.4951021021715258
c10,A1-H+OL1,1.0,no_skip,2.4017239920794964,False,0.03938363148105149,250600249250,6363055915008,0.9800603683242988
c11,A4,0.0,native,3.2169435871765018,True,0.07212018636951158,458904778470,6363055915008,1.0
c11,A4,0.0,fusion_dense,2.5958429323509336,True,0.07212018636951158,458904778470,6363055915008,1.2423570452409614
c11,A4,0.0,sparse,2.067810855805874,False,0.07212018636951158,458904778470,6363055915008,1.5577828367874285
c11,A4,0.0,no_skip,2.542662899941206,False,0.07212018636951158,458904778470,6363055915008,1.2750527230342517
c12,A4,0.01,native,3.2493131002411246,True,0.07413704224307557,471738145166,6363055915008,1.0
c12,A4,0.01,fusion_dense,2.6073670014739037,True,0.07413704224307557,471738145166,6363055915008,1.2474610102279533
c12,A4,0.01,sparse,2.0766265224665403,False,0.07413704224307557,471738145166,6363055915008,1.5639696644923289
c12,A4,0.01,no_skip,2.552692429162562,False,0.07413704224307557,471738145166,6363055915008,1.2791922573163383
c13,A4,0.05,native,3.256123047322035,True,0.08205892926203266,522145555220,6363055915008,1.0
c13,A4,0.05,fusion_dense,2.616037498228252,True,0.08205892926203266,522145555220,6363055915008,1.2453413446681791
c13,A4,0.05,sparse,2.0813459996134043,False,0.08205892926203266,522145555220,6363055915008,1.5641736993229047
c13,A4,0.05,no_skip,2.5489169638603926,False,0.08205892926203266,522145555220,6363055915008,1.2772150928497399
c14,A4,0.1,native,3.1911139376461506,True,0.08953004995419465,569684713932,6363055915008,1.0
c14,A4,0.1,fusion_dense,2.5634784251451492,True,0.08953004995419465,569684713932,6363055915008,1.248588982601133
c14,A4,0.1,sparse,2.0480124512687325,False,0.08953004995419465,569684713932,6363055915008,1.5609240224197298
c14,A4,0.1,no_skip,2.54102295730263,False,0.08953004995419465,569684713932,6363055915008,1.2653586366878398
c15,A4,0.5,native,3.1783950980752707,True,0.10215537061773293,650020335259,6363055915008,1.0
c15,A4,0.5,fusion_dense,2.552494523115456,True,0.10215537061773293,650020335259,6363055915008,1.2490321739280923
c15,A4,0.5,sparse,2.043285872787237,True,0.10215537061773293,650020335259,6363055915008,1.5606132164075899
c15,A4,0.5,no_skip,2.5404179468750954,True,0.10215537061773293,650020335259,6363055915008,1.255444929816379
c16,A4+OL1@4,0.0,native,3.182913060300052,True,0.0781004229286857,496957358081,6363055915008,1.0
c16,A4+OL1@4,0.0,fusion_dense,2.5470524560660124,True,0.0781004229286857,496957358081,6363055915008,1.2503830221992105
c16,A4+OL1@4,0.0,sparse,2.035926445387304,False,0.0781004229286857,496957358081,6363055915008,1.5664241155778231
c16,A4+OL1@4,0.0,no_skip,2.543802955187857,False,0.0781004229286857,496957358081,6363055915008,1.2685767487934303
c17,A4+OL1@4,0.01,native,3.209873102605343,True,0.08586708994090508,546377094553,6363055915008,1.0
c17,A4+OL1@4,0.01,fusion_dense,2.5743269361555576,True,0.08586708994090508,546377094553,6363055915008,1.2468646035088309
c17,A4+OL1@4,0.01,sparse,2.0535410149022937,False,0.08586708994090508,546377094553,6363055915008,1.564229471078309
c17,A4+OL1@4,0.01,no_skip,2.546283067204058,False,0.08586708994090508,546377094553,6363055915008,1.266718372212393
c18,A4+OL1@4,0.05,native,3.1966830138117075,True,0.1045644512413755,665349449971,6363055915008,1.0
c18,A4+OL1@4,0.05,fusion_dense,2.5644629495218396,True,0.1045644512413755,665349449971,6363055915008,1.2476865521477059
c18,A4+OL1@4,0.05,sparse,2.0444210385903716,False,0.1045644512413755,665349449971,6363055915008,1.5644233673734786
c18,A4+OL1@4,0.05,no_skip,2.539612934924662,False,0.1045644512413755,665349449971,6363055915008,1.2579914165524817
c19,A4+OL1@4,0.1,native,3.1577289337292314,True,0.11394280537892908,725024441739,6363055915008,1.0
c19,A4+OL1@4,0.1,fusion_dense,2.533116959966719,True,0.11394280537892908,725024441739,6363055915008,1.246496802491084
c19,A4+OL1@4,0.1,sparse,2.0243010949343443,False,0.11394280537892908,725024441739,6363055915008,1.5599956986652952
c19,A4+OL1@4,0.1,no_skip,2.534182509407401,False,0.11394280537892908,725024441739,6363055915008,1.246814451525142
c20,A4+OL1@4,0.5,native,3.2110584434121847,True,0.12713448684742273,808963848536,6363055915008,1.0
c20,A4+OL1@4,0.5,fusion_dense,2.5777785340324044,True,0.12713448684742273,808963848536,6363055915008,1.2480505182282586
c20,A4+OL1@4,0.5,sparse,2.0578375551849604,True,0.12713448684742273,808963848536,6363055915008,1.560961724383091
c20,A4+OL1@4,0.5,no_skip,2.542027970775962,True,0.12713448684742273,808963848536,6363055915008,1.2713045154623097
c21,A7,0.0,native,3.164122928865254,True,0.07217650871804772,459263160723,6363055915008,1.0
c21,A7,0.0,fusion_dense,2.5230684550479054,True,0.07217650871804772,459263160723,6363055915008,1.2523887991069511
c21,A7,0.0,sparse,2.016596030443907,False,0.07217650871804772,459263160723,6363055915008,1.569048207607793
c21,A7,0.0,no_skip,2.535443054512143,False,0.07217650871804772,459263160723,6363055915008,1.2613587321828323
c22,A7,0.01,native,3.6616745637729764,True,0.07617648872497619,484715257166,6363055915008,1.0
c22,A7,0.01,fusion_dense,2.543383394367993,True,0.07617648872497619,484715257166,6363055915008,1.438504954832088
c22,A7,0.01,sparse,2.034331555478275,False,0.07617648872497619,484715257166,6363055915008,1.8014478449687896
c22,A7,0.01,no_skip,2.5423794286325574,False,0.07617648872497619,484715257166,6363055915008,1.4468932811296762
