condition,family,dose,historical,R_model,R_model_percent,zero_products,model_products,eligible_BF16_zero_fraction,eligible_BF16_zero_products,eligible_products,eligible_zero_share_of_model,native_validation_loss,replicates,pairs,native_latency_ms,native_qualified,native_max_abs_logit_difference,native_max_loss_delta,native_max_relative_l2,native_failed_validation_blocks,native_failed_processes,fusion_dense_latency_ms,fusion_dense_qualified,fusion_dense_max_abs_logit_difference,fusion_dense_max_loss_delta,fusion_dense_max_relative_l2,fusion_dense_failed_validation_blocks,fusion_dense_failed_processes,sparse_latency_ms,sparse_qualified,sparse_max_abs_logit_difference,sparse_max_loss_delta,sparse_max_relative_l2,sparse_failed_validation_blocks,sparse_failed_processes,no_skip_latency_ms,no_skip_qualified,no_skip_max_abs_logit_difference,no_skip_max_loss_delta,no_skip_max_relative_l2,no_skip_failed_validation_blocks,no_skip_failed_processes,overall_speedup,overall_ci_low,overall_ci_high,overall_qualified,beyond_qkv_fusion_speedup,beyond_qkv_fusion_ci_low,beyond_qkv_fusion_ci_high,beyond_qkv_fusion_qualified,skip_only_speedup,skip_only_ci_low,skip_only_ci_high,skip_only_qualified,qkv_fusion_speedup,qkv_fusion_ci_low,qkv_fusion_ci_high,qkv_fusion_qualified,mean_total_saved_ms,mean_skip_saved_ms,mean_non_skip_net_saved_ms,skip_share_of_total_latency_saving
c11,A4,0.0,False,0.07212018636951158,7.212018636951158,458904778470,6363055915008,0.6591529567801271,224271481088,340241940480,0.03524587620847868,5.472691942747794,3,1344,3.2169435871765018,True,0.0,0.0,0.0,0,0,2.5958429323509336,True,0.0,0.0,0.0,0,0,2.067810855805874,False,0.875,3.9123982762845344e-05,0.002544133458286524,27,3,2.542662899941206,False,0.875,3.9123982762845344e-05,0.002544133458286524,27,3,1.5577828367874285,1.5515760755850576,1.5630049102399621,False,1.253893027575892,1.2457926766236482,1.2605118699011104,False,1.2217399395692141,1.2189632756306343,1.2241617527077617,False,1.2423570452409614,1.2378247206734343,1.2469526123085177,True,1.1648595758569649,0.46182737267892143,0.7030322031780434,0.39646613398800784
c12,A4,0.01,False,0.07413704224307557,7.4137042243075575,471738145166,6363055915008,0.688738309796275,234337659008,340241940480,0.0368278484643342,5.469356820467444,3,1344,3.2493131002411246,True,0.0,0.0,0.0,0,0,2.6073670014739037,True,0.0,0.0,0.0,0,0,2.0766265224665403,False,0.75,7.029162183158633e-05,0.002104210201650858,28,3,2.552692429162562,False,0.75,7.029162183158633e-05,0.002104210201650858,28,3,1.5639696644923289,1.558740301103204,1.5691616065606315,False,1.2537222820347216,1.247376975414186,1.2583220528838448,False,1.2226228352674953,1.2023946158000756,1.2440949286062482,False,1.2474610102279533,1.2407968842906256,1.2553760354595451,True,1.1819083960117063,0.4645451675363195,0.7173632284753868,0.3930466769708254
c13,A4,0.05,False,0.08205892926203266,8.205892926203266,522145555220,6363055915008,0.8059458979017871,274216596224,340241940480,0.04309511025625731,5.4363993632813505,3,1344,3.256123047322035,True,0.0,0.0,0.0,0,0,2.616037498228252,True,0.0,0.0,0.0,0,0,2.0813459996134043,False,1.0,5.77480656138718e-05,0.0022908400278538465,43,3,2.5489169638603926,False,1.0,5.77480656138718e-05,0.0022908400278538465,43,3,1.5641736993229047,1.5503222446686458,1.5737665188333485,False,1.2560200510645363,1.2514460527910274,1.2603252132633078,False,1.2246752391822264,1.2123924627625373,1.2343690161158651,False,1.2453413446681791,1.2389235985899556,1.2499382038488402,True,1.1764107889792372,0.46768131696375176,0.7087294720154855,0.3975493266000691
c14,A4,0.1,False,0.08953004995419465,8.953004995419466,569684713932,6363055915008,0.913264158726679,310730769536,340241940480,0.048833575201359725,5.421764084024048,3,1344,3.1911139376461506,True,0.0,0.0,0.0,0,0,2.5634784251451492,True,0.0,0.0,0.0,0,0,2.0480124512687325,False,1.125,9.886501579181584e-06,0.0017149728955700994,22,3,2.54102295730263,False,1.125,9.886501579181584e-06,0.0017149728955700994,22,3,1.5609240224197298,1.55530018038503,1.5670278206696964,False,1.2501504051140373,1.2460573604468501,1.2542014068801395,False,1.2335823039905527,1.208797964086893,1.248285145362157,False,1.248588982601133,1.2459810255666728,1.251513907102919,True,1.1596536041040617,0.4808638063661333,0.6787897977379285,0.41466158917140133
c15,A4,0.5,False,0.10215537061773293,10.215537061773293,650020335259,6363055915008,0.9987667839908035,339822348672,340241940480,0.053405526088571666,5.662304621585284,3,1344,3.1783950980752707,True,0.0,0.0,0.0,0,0,2.552494523115456,True,0.0,0.0,0.0,0,0,2.043285872787237,True,0.0,0.0,0.0,0,0,2.5404179468750954,True,0.0,0.0,0.0,0,0,1.5606132164075899,1.5568874238020134,1.5642763376279953,True,1.2494579795327476,1.2462596344798382,1.252400104951671,True,1.2430758047155797,1.2341529859181284,1.2517228827035893,True,1.2490321739280923,1.2465433985784875,1.2517610878771652,True,1.1490934110562583,0.4972155629296876,0.6518778481265707,0.4327024749647133
c16,A4+OL1@4,0.0,False,0.0781004229286857,7.81004229286857,496957358081,6363055915008,0.732839290159929,249342662144,340241940480,0.03918599262280512,5.459826833517597,3,1344,3.182913060300052,True,0.0,0.0,0.0,0,0,2.5470524560660124,True,0.0,0.0,0.0,0,0,2.035926445387304,False,0.46875,3.5293307449890676e-06,0.0012590265832841396,2,3,2.543802955187857,False,0.46875,3.5293307449890676e-06,0.0012590265832841396,2,3,1.5664241155778231,1.5627734333813952,1.5715828324278778,False,1.2527554259516016,1.2503581477742558,1.2565408832616327,False,1.2347886062610571,1.2016582631245751,1.2539267802231446,False,1.2503830221992105,1.2480697061280943,1.2527507977289611,True,1.1708570034118435,0.48371869395071243,0.6871383094611311,0.4131321694631967
c17,A4+OL1@4,0.01,False,0.08586708994090508,8.586708994090507,546377094553,6363055915008,0.8171191405497594,278018201984,340241940480,0.04369255994250531,5.460160899739759,3,1344,3.209873102605343,True,0.0,0.0,0.0,0,0,2.5743269361555576,True,0.0,0.0,0.0,0,0,2.0535410149022937,False,0.75,1.6866827579065102e-07,0.0014151084469631314,9,3,2.546283067204058,False,0.75,1.6866827579065102e-07,0.0014151084469631314,9,3,1.564229471078309,1.5605112483837094,1.5683380432540595,False,1.2545303368756913,1.2514495118791007,1.2577407856225837,False,1.2348675959805466,1.221871256723178,1.2479172761161732,False,1.2468646035088309,1.2441582724298976,1.2503141943539822,True,1.1659380269563935,0.4842157293404896,0.6817222976159039,0.4153014295318112
c18,A4+OL1@4,0.05,False,0.1045644512413755,10.45644512413755,665349449971,6363055915008,0.9409263949422442,320142622464,340241940480,0.05031271557883167,5.492159449548272,3,1344,3.1966830138117075,True,0.0,0.0,0.0,0,0,2.5644629495218396,True,0.0,0.0,0.0,0,0,2.0444210385903716,False,0.625,8.066436798515042e-07,0.00037741308915428817,2,3,2.539612934924662,False,0.625,8.066436798515042e-07,0.00037741308915428817,2,3,1.5644233673734786,1.5616352051682723,1.5672542030955143,False,1.2538592843535563,1.251047296766415,1.2567005862574445,False,1.2435882684007271,1.2356170767464936,1.2511821160552234,False,1.2476865521477059,1.2429919064574486,1.2514751744907315,True,1.153669703247336,0.4972401153021825,0.6564295879451535,0.4310073445653958
c19,A4+OL1@4,0.1,False,0.11394280537892908,11.394280537892907,725024441739,6363055915008,0.9757258413341153,331982853632,340241940480,0.052173493061561854,5.5503984922811975,3,1344,3.1577289337292314,True,0.0,0.0,0.0,0,0,2.533116959966719,True,0.0,0.0,0.0,0,0,2.0243010949343443,False,0.75,2.1030605079630504e-07,0.0003057166759390384,1,3,2.534182509407401,False,0.75,2.1030605079630504e-07,0.0003057166759390384,1,3,1.5599956986652952,1.5577434146146492,1.5624075740439676,False,1.251503971408265,1.2489579358926375,1.253532835140822,False,1.2511851276323116,1.2494158244185445,1.2528940090956626,False,1.246496802491084,1.2450242117476904,1.248223388693023,True,1.1346475688956812,0.5087833039093917,0.6258642649862894,0.4484064636956614
c20,A4+OL1@4,0.5,False,0.12713448684742273,12.713448684742273,808963848536,6363055915008,0.9994663072996121,340060355840,340241940480,0.05344293062676512,6.040290392345614,3,1344,3.2110584434121847,True,0.0,0.0,0.0,0,0,2.5777785340324044,True,0.0,0.0,0.0,0,0,2.0578375551849604,True,0.0,0.0,0.0,0,0,2.542027970775962,True,0.0,0.0,0.0,0,0,1.560961724383091,1.556486321039346,1.566697911229163,True,1.2507199841550034,1.247804622035828,1.2534172141851951,True,1.2278425077531072,1.2204970189711615,1.2344746668896498,True,1.2480505182282586,1.2445321523281203,1.2526389149658383,True,1.1664866400505638,0.47375103929967044,0.6927356007508934,0.40613498949215115
