source_checkpoint_id,scale,family,training_parameter,clipping_target_p,loss,delta_loss_from_p0,R_model,U_arch,nondominated_within_checkpoint
14M:A1-H-OL1:0.5,14M,A1-H-OL1,0.5,0.4,5.585054128833071,0.47482404342064477,0.07104434684249221,0.5536001219777275,True
14M:A1-H-OL1:0.5,14M,A1-H-OL1,0.5,0.5,6.130627504467259,1.0203974190548326,0.07911151552459163,0.6164620633553628,True
14M:A1-H-OL1:0.5,14M,A1-H-OL1,0.5,0.6,6.968931017542732,1.858700932130306,0.08696843082217426,0.677685643561591,True
14M:A1-H-OL1:0.5,14M,A1-H-OL1,0.5,0.7,7.917230041774772,2.806999956362346,0.09480072604850615,0.7387173763506316,True
14M:A1-H-OL1:0.5,14M,A1-H-OL1,0.5,0.8,8.780806143608318,3.670576058195892,0.10372511955903034,0.8082590859388243,True
14M:A1-H-OL1:0.5,14M,A1-H-OL1,0.5,0.9,9.262721909573798,4.152491824161372,0.11105975446392279,0.8654128913923775,True
14M:A1-H-OL1:1.0,14M,A1-H-OL1,1.0,0.0,5.121212921904389,0.0,0.03938363681700963,0.30688981058775283,True
14M:A1-H-OL1:1.0,14M,A1-H-OL1,1.0,0.1,5.129136376126984,0.00792345422259455,0.04792441496321766,0.37344226737939595,True
14M:A1-H-OL1:1.0,14M,A1-H-OL1,1.0,0.2,5.183859378981167,0.06264645707677818,0.056438514998582795,0.43978683985549316,True
14M:A1-H-OL1:1.0,14M,A1-H-OL1,1.0,0.3,5.349408231543366,0.22819530963897705,0.06479109898839883,0.5048728279896781,True
14M:A1-H-OL1:1.0,14M,A1-H-OL1,1.0,0.4,5.680603768698562,0.5593908467941731,0.07288606573849617,0.5679513807448312,True
14M:A1-H-OL1:1.0,14M,A1-H-OL1,1.0,0.5,6.23146370317809,1.1102507812737006,0.0807621838250582,0.629324595183673,True
14M:A1-H-OL1:1.0,14M,A1-H-OL1,1.0,0.6,7.013677542026226,1.892464620121837,0.088336786783885,0.6883483079533331,True
14M:A1-H-OL1:1.0,14M,A1-H-OL1,1.0,0.7,7.875196588109937,2.7539836662055475,0.09577840198238047,0.7463357378431719,True
14M:A1-H-OL1:1.0,14M,A1-H-OL1,1.0,0.8,8.70980400446604,3.588591082561651,0.10322399407960793,0.8043541569914241,True
14M:A1-H-OL1:1.0,14M,A1-H-OL1,1.0,0.9,9.263879134104801,4.142666212200412,0.11050013096861432,0.861052127319886,True
14M:A4:0.0,14M,A4,0.0,0.0,5.470511248125833,0.0,0.07212023606135842,0.5619837925901036,False
14M:A4:0.0,14M,A4,0.0,0.1,5.470511248125833,0.0,0.07212023606135842,0.5619837925901036,False
14M:A4:0.0,14M,A4,0.0,0.2,5.470511248125833,0.0,0.07212023606135842,0.5619837925901036,False
14M:A4:0.0,14M,A4,0.0,0.3,5.470511248125833,0.0,0.07212023606135842,0.5619837925901036,False
14M:A4:0.0,14M,A4,0.0,0.4,5.470427903197926,-8.334492790673664e-05,0.07218927010205638,0.562521727767912,False
14M:A4:0.0,14M,A4,0.0,0.5,5.470153135660837,-0.00035811246499584115,0.07309895900379106,0.5696103127059735,True
14M:A4:0.0,14M,A4,0.0,0.6,5.539702479655926,0.06919123153009288,0.08078262318638665,0.6294838651808997,True
14M:A4:0.0,14M,A4,0.0,0.7,5.957409727502856,0.48689847937702346,0.08956409274289451,0.697911865911266,True
14M:A4:0.0,14M,A4,0.0,0.8,6.974516786767181,1.5040055386413478,0.10214867367595383,0.7959749187678982,True
14M:A4:0.0,14M,A4,0.0,0.9,8.247837001755393,2.77732575362956,0.11630631106532867,0.9062957273052857,True
14M:A4:0.01,14M,A4,0.01,0.0,5.466523604985525,0.0,0.07413701664012595,0.5776991876078565,False
14M:A4:0.01,14M,A4,0.01,0.1,5.466523604985525,0.0,0.07413701664012595,0.5776991876078565,False
14M:A4:0.01,14M,A4,0.01,0.2,5.466523604985525,0.0,0.07413701664012595,0.5776991876078565,False
14M:A4:0.01,14M,A4,0.01,0.3,5.466523604985525,0.0,0.07413701664012595,0.5776991876078565,False
14M:A4:0.01,14M,A4,0.01,0.4,5.466523604985525,0.0,0.07413701664012595,0.5776991876078565,False
14M:A4:0.01,14M,A4,0.01,0.5,5.466257147535065,-0.00026645745046049996,0.07456460559036333,0.581031096556679,True
14M:A4:0.01,14M,A4,0.01,0.6,5.5348161289677815,0.06829252398225627,0.08178305574788364,0.637279553545846,True
14M:A4:0.01,14M,A4,0.01,0.7,5.958228313711268,0.49170470872574246,0.09002738959811259,0.7015220222003969,True
14M:A4:0.01,14M,A4,0.01,0.8,6.9883770618213,1.5218534568357747,0.10196830405523542,0.7945694213783288,True
14M:A4:0.01,14M,A4,0.01,0.9,8.158731303976838,2.6922076989913126,0.11621384760471185,0.9055752226437476,True
14M:A4:0.05,14M,A4,0.05,0.0,5.434158822488502,0.0,0.08205886279962755,0.6394287297192333,False
14M:A4:0.05,14M,A4,0.05,0.1,5.434158822488502,0.0,0.08205886279962755,0.6394287297192333,False
14M:A4:0.05,14M,A4,0.05,0.2,5.434158822488502,0.0,0.08205886279962755,0.6394287297192333,False
14M:A4:0.05,14M,A4,0.05,0.3,5.434158822488502,0.0,0.08205886279962755,0.6394287297192333,False
14M:A4:0.05,14M,A4,0.05,0.4,5.434158822488502,0.0,0.08205886279962755,0.6394287297192333,False
14M:A4:0.05,14M,A4,0.05,0.5,5.434098449684459,-6.0372804043140604e-05,0.08212998274184471,0.6399829189043876,True
14M:A4:0.05,14M,A4,0.05,0.6,5.479514490217852,0.04535566772934985,0.08758280507178277,0.6824730429063595,True
14M:A4:0.05,14M,A4,0.05,0.7,5.8648627044181145,0.4307038819296123,0.09416939838131953,0.7337978705898526,True
14M:A4:0.05,14M,A4,0.05,0.8,6.693103096188878,1.2589442737003758,0.10191343626943197,0.7941418741593954,True
14M:A4:0.05,14M,A4,0.05,0.9,8.09124522519535,2.657086402706847,0.1146223626894033,0.8931738665556435,True
14M:A4:0.1,14M,A4,0.1,0.0,5.419630454136775,0.0,0.08953012178446082,0.697647153410294,False
14M:A4:0.1,14M,A4,0.1,0.1,5.419630454136775,0.0,0.08953012178446082,0.697647153410294,False
14M:A4:0.1,14M,A4,0.1,0.2,5.419630454136775,0.0,0.08953012178446082,0.697647153410294,False
14M:A4:0.1,14M,A4,0.1,0.3,5.419630454136775,0.0,0.08953012178446082,0.697647153410294,False
14M:A4:0.1,14M,A4,0.1,0.4,5.419630454136775,0.0,0.08953012178446082,0.697647153410294,False
