condition_id,layer,operation,site,K,M,N,exact_zero_mass,dense_median_ms,pack_median_ms,kernel_median_ms,pack_kernel_median_ms,kernel_only_speedup,pack_kernel_speedup,sparse_vs_fp32_relative_l2
a4-ol1-kappa-0p5,1,mlp_w1,m,1024,2048,4096,0.8704800605773926,0.03285181199388551,0.007871299835261454,0.7829883782734425,0.7989427506042819,0.0419810535160804,0.04106194596610467,0.0023434587449301493
a4-ol1-kappa-0p5,1,mlp_w2,h,4096,2048,1024,0.999275803565979,0.027756008519429595,0.02042392957700442,0.12875707930625846,0.14896927290855477,0.21919848909463022,0.18621923434334786,0.002273300389502679
a4-ol1-kappa-0p5,1,attention_output_projection,z,1024,2048,1024,0.9999337196350098,0.010179273712135667,0.006908353790240692,0.027234127863073197,0.03408641823508429,0.37364660018427476,0.29858915788172957,0.001588921088672958
a4-ol1-kappa-0p5,2,qkv_projection,a,1024,2048,3072,0.9017400741577148,0.02442367203798075,0.007827247109940753,0.6993556694596197,0.7132752205484346,0.034934167591763585,0.03411350606183649,0.002321274643969216
a4-ol1-kappa-0p5,2,mlp_w1,m,1024,2048,4096,0.9080734252929688,0.03239532332155984,0.007814205647494025,0.6429107832957587,0.6528947907796386,0.050338310404513774,0.049657470961254474,0.002315831242360659
a4-ol1-kappa-0p5,2,mlp_w2,h,4096,2048,1024,0.9996030330657959,0.026556610304942396,0.020575178997725724,0.1468963004644576,0.17344114929026686,0.1823162305151588,0.1530361307841264,0.002268260987877919
a4-ol1-kappa-0p5,2,attention_output_projection,z,1024,2048,1024,0.9998989105224609,0.010171920025271772,0.006899307683033671,0.021589765773388263,0.028504959394257488,0.471170695322825,0.3566464703891329,0.0016857885188114254
a4-ol1-kappa-0p5,3,qkv_projection,a,1024,2048,3072,0.9886279106140137,0.023184538494236292,0.0074985448944052974,0.4123298607709754,0.43112768509612437,0.05623566732484973,0.05367278012935334,0.0022682510259763792
a4-ol1-kappa-0p5,3,mlp_w1,m,1024,2048,4096,0.9262504577636719,0.031978911475131384,0.007842441922739932,0.5402798584678716,0.5479389768943452,0.0591469637669821,0.05837501095251882,0.0023149117673720667
a4-ol1-kappa-0p5,3,mlp_w2,h,4096,2048,1024,0.9997978210449219,0.028499017853836912,0.020074297289748293,0.08640925992618907,0.10972539080189658,0.3294333720580438,0.259730383692963,0.0021870138698053647
a4-ol1-kappa-0p5,3,attention_output_projection,z,1024,2048,1024,1.0,0.010186035186052322,0.006882333755493164,0.01445138081908226,0.021351146697998046,0.7048485756186162,0.4770304113553871,0.0
a4-ol1-kappa-0p5,4,qkv_projection,a,1024,2048,3072,0.9655046463012695,0.023432454631645762,0.007669220056234454,0.49533133683183267,0.5086448784188127,0.04730662667442175,0.04603876867467298,0.0022867656141418273
a4-ol1-kappa-0p5,4,mlp_w1,m,1024,2048,4096,0.9453330039978027,0.0319667600073294,0.007795933688988024,0.4883698437769504,0.49565223685759713,0.065917042377502,0.06449024149807617,0.002306855199851064
a4-ol1-kappa-0p5,4,mlp_w2,h,4096,2048,1024,0.9999091625213623,0.029057682057507358,0.020966696423864558,0.05809089801927076,0.08033146163798942,0.49951514918785594,0.3656739270868082,0.0020151180660563156
a4-ol1-kappa-0p5,4,attention_output_projection,z,1024,2048,1024,0.9999957084655762,0.010172778367996215,0.006871961802244186,0.017352183908224107,0.024291175603866576,0.5862534895780355,0.41887545895943484,0.0007597012798602385
a4-ol1-kappa-0p5,5,qkv_projection,a,1024,2048,3072,0.9836053848266602,0.023196991533041,0.007475679740309715,0.4066053219139576,0.4197520576417446,0.057139632392926444,0.05528530489248533,0.0022740777343589415
a4-ol1-kappa-0p5,5,mlp_w1,m,1024,2048,4096,0.9449920654296875,0.031551483430360495,0.0077617123610991285,0.49356356599277124,0.5000903978383631,0.06456017931196731,0.063092345366922,0.0023012930089177726
a4-ol1-kappa-0p5,5,mlp_w2,h,4096,2048,1024,0.9999179840087891,0.02944369024177126,0.019607553269492404,0.0503814814932569,0.07176226943948638,0.5864868026689068,0.4107198569194711,0.002027121462211966
a4-ol1-kappa-0p5,5,attention_output_projection,z,1024,2048,1024,1.0,0.010180757194757462,0.006913883239030838,0.014431595802307129,0.02127400189638138,0.7055267681975554,0.4785539290794727,0.0
a4-ol1-kappa-0p5,6,qkv_projection,a,1024,2048,3072,0.9728999137878418,0.023337476528607883,0.007601334498478816,0.5053991881700662,0.5182347962489495,0.04616113447566051,0.045024235920658594,0.0022842226988329783
a4-ol1-kappa-0p5,6,mlp_w1,m,1024,2048,4096,0.946589469909668,0.03168108788403598,0.00779427813761162,0.49261626872149383,0.5057117478414015,0.06436202433517989,0.06263594847120117,0.0022943105652958543
a4-ol1-kappa-0p5,6,mlp_w2,h,4096,2048,1024,0.9999096393585205,0.02863751615058791,0.01975668192340278,0.07326255002869851,0.09808490255171012,0.3979959086539211,0.2916686374545097,0.002068678360746056
a4-ol1-kappa-0p5,6,attention_output_projection,z,1024,2048,1024,0.9999990463256836,0.01017567865514213,0.006920762428671977,0.017249493032258204,0.02419789562240832,0.5889089620914363,0.4205191564558615,0.0002129712568926731
a4-ol1-kappa-0p5,7,qkv_projection,a,1024,2048,3072,0.9829120635986328,0.02323194159626287,0.007503334495980861,0.4635930882167008,0.47863749418891754,0.05012689058385203,0.04852177724807754,0.002273945610383375
a4-ol1-kappa-0p5,7,mlp_w1,m,1024,2048,4096,0.9494833946228027,0.031719103865667224,0.007727197641990965,0.5034719699201963,0.5118220087585099,0.06317917994105528,0.0619706040793276,0.0022977421020976534
a4-ol1-kappa-0p5,7,mlp_w2,h,4096,2048,1024,0.999924898147583,0.028596533709171867,0.019636832694496214,0.05535086145264864,0.07945896799690348,0.514440776282196,0.36220397277839345,0.0020868771907795866
a4-ol1-kappa-0p5,7,attention_output_projection,z,1024,2048,1024,0.9999966621398926,0.01017140686664435,0.006895396105773614,0.01820427453731332,0.025112912478044515,0.5586500114872545,0.40498989783042344,0.0005757052719177361
a4-ol1-kappa-0p5,8,qkv_projection,a,1024,2048,3072,0.9978451728820801,0.02299460249938084,0.0072449948605593315,0.27649389781706285,0.29858595445143393,0.0831309877402017,0.07704520454013015,0.002209827232961387
a4-ol1-kappa-0p5,8,mlp_w1,m,1024,2048,4096,0.9510464668273926,0.03159267548174142,0.007762445714146185,0.4969964416834493,0.5067188661700239,0.06356720658749436,0.06231498682197654,0.0022939969603012977
a4-ol1-kappa-0p5,8,mlp_w2,h,4096,2048,1024,0.99993896484375,0.028410385794969135,0.02059559896062897,0.05918196461600881,0.08614122951652839,0.4800514139620854,0.33104993515638326,0.0019418409090585554
a4-ol1-kappa-0p5,8,attention_output_projection,z,1024,2048,1024,1.0,0.010166577994823456,0.006903258711099624,0.014438476413488388,0.021313460171222688,0.7041309417748444,0.4765617605755056,0.0
a4-ol1-kappa-0p5,9,qkv_projection,a,1024,2048,3072,0.9960813522338867,0.02304131131885307,0.0073351797514728135,0.36363445022808655,0.38123646351907936,0.06336519379702492,0.06046690026224958,0.00223407506893813
a4-ol1-kappa-0p5,9,mlp_w1,m,1024,2048,4096,0.952390193939209,0.03155283894099242,0.007751478371045268,0.4863311318641013,0.5010251352127563,0.06493706054945247,0.06334396365726587,0.0023010610068987703
a4-ol1-kappa-0p5,9,mlp_w2,h,4096,2048,1024,0.9999455213546753,0.02891916406311883,0.020189791574860904,0.06086190881737156,0.0875418043323959,0.47115828937010623,0.3299228979782512,0.0018815345402186678
a4-ol1-kappa-0p5,9,attention_output_projection,z,1024,2048,1024,1.0,0.010176296532154083,0.006884010136127472,0.014456185698509216,0.02131843864917755,0.7043579034841628,0.4771138237125034,0.0
a4-ol1-kappa-0p5,10,qkv_projection,a,1024,2048,3072,0.9945168495178223,0.023145966350958943,0.007364564422898333,0.38787071005444684,0.40818102025457853,0.05967443725696601,0.05687832334763746,0.0022318669833967346
a4-ol1-kappa-0p5,10,mlp_w1,m,1024,2048,4096,0.9538555145263672,0.03159877371501636,0.007681973703630694,0.5055921146640548,0.5143178856229639,0.06268445925148021,0.06145092409509891,0.002305561432209616
a4-ol1-kappa-0p5,10,mlp_w2,h,4096,2048,1024,0.9999516010284424,0.028794513583462467,0.019922867783757507,0.06779430726372944,0.08864173408274907,0.4285030317612611,0.32493852791997363,0.0018204651469081578
a4-ol1-kappa-0p5,10,attention_output_projection,z,1024,2048,1024,1.0,0.010178134590387345,0.006847670674324036,0.014448166638612748,0.0213587649166584,0.704429261945798,0.4766898434492368,0.0
a4-ol1-kappa-0p5,11,qkv_projection,a,1024,2048,3072,0.9957923889160156,0.023049039290090313,0.007350473860988703,0.36288922310142774,0.3796828150615564,0.06352976834864572,0.06070603771296172,0.0022462338721162887
a4-ol1-kappa-0p5,11,mlp_w1,m,1024,2048,4096,0.9586739540100098,0.03151866908093774,0.0077317631770333385,0.47951194843221695,0.49005745569638814,0.06573072721960165,0.06433292541283298,0.0023086983945110186
a4-ol1-kappa-0p5,11,mlp_w2,h,4096,2048,1024,0.9999614953994751,0.028537591898888697,0.020119883379877624,0.06928683138891377,0.09608953419178279,0.4134936431948196,0.2979610302459943,0.0017052222415839006
a4-ol1-kappa-0p5,11,attention_output_projection,z,1024,2048,1024,1.0,0.010169552266597747,0.006883679330348969,0.014441290497779846,0.02136135697364807,0.7041335305703241,0.47621571609253044,0.0
a4-ol1-kappa-0p5,12,qkv_projection,a,1024,2048,3072,0.9892401695251465,0.023162662982940674,0.007478763659795125,0.4385718107223511,0.45519596338272095,0.052787458701825433,0.05074640926048379,0.002259579606711898
a4-ol1-kappa-0p5,12,mlp_w1,m,1024,2048,4096,0.9547863006591797,0.03164880775578242,0.007786137665738527,0.5103502742845009,0.5208794168037887,0.06204265140800644,0.06065472267412159,0.0023074753630742332
