condition_id,layer,q_exact_zero_mass,v_exact_zero_mass,composition_dense_median_ms,composition_sparse_median_ms,composition_paired_speedup,break_even
a7-ol1-kappa-0p5,8,1.0,1.0,1.4470420881277986,2.4015152206023536,0.6025787412648825,False
a7-ol1-kappa-0p5,9,0.998931884765625,0.9999847412109375,1.4446326370896965,2.405509660983908,0.6003669714421664,False
a7-ol1-kappa-0p5,10,0.9989089965820312,0.999969482421875,1.44515424552891,2.421092242002487,0.5967898127530772,False
a7-ol1-kappa-0p5,11,0.998931884765625,0.99993896484375,1.4430093285920738,2.425532136763726,0.5950173157037626,False
a7-ol1-kappa-0p5,12,0.997161865234375,0.99993896484375,1.444653770723543,2.4271160885170624,0.594936577058353,False
a7-ol1-kappa-0p5,13,0.9914016723632812,0.9997482299804688,1.445331099167676,2.448652464319283,0.5900188588425022,False
a7-ol1-kappa-0p5,14,0.9999847412109375,0.999969482421875,1.4458000659942627,2.4333047074871463,0.5941533479936961,False
a7-ol1-kappa-0p5,15,0.9960479736328125,0.9994049072265625,1.4428518025587636,2.4657068206063397,0.5852378516564848,False
a7-ol1-kappa-0p5,16,0.7703475952148438,0.9955291748046875,1.4488387387245893,2.7264395030215383,0.531284307041475,False
a7-ol1-kappa-0p5,17,0.8734588623046875,0.9883499145507812,1.448940989133474,3.1357115587672673,0.4619303869688475,False
a7-ol1-kappa-0p5,18,0.6312637329101562,0.9849777221679688,1.453396271575581,3.174660083922473,0.45765825062070464,False
a7-ol1-kappa-0p5,19,0.6240158081054688,0.9753189086914062,1.4529956970363855,3.646196098998189,0.39849631165904753,False
a7-ol1-kappa-0p5,20,0.5452194213867188,0.9680862426757812,1.4543965076788878,4.488699520245577,0.3236132001016764,False
a7-ol1-kappa-0p5,21,0.4574737548828125,0.9204177856445312,1.4528567429448738,5.709602573855978,0.2545031289478763,False
a7-ol1-kappa-0p5,22,0.13397216796875,0.8068771362304688,1.4525715793882097,6.299034958439214,0.23062410038087788,False
a7-ol1-kappa-0p5,23,0.1070709228515625,0.530426025390625,1.4520446365734316,6.6739826832177505,0.2176260472926038,False
