condition_id,layer,operation,site,M,K,N,exact_zero_mass,maximum_row_nnz,dense_median_ms,pack_median_ms,kernel_median_ms,pack_kernel_median_ms,kernel_only_speedup,pack_kernel_speedup,sparse_vs_fp32_relative_l2
a4-ol1-kappa-0,1,qkv_projection,a,2048,512,1536,0.5279664993286133,266,0.010020215324904203,0.005314244654934102,0.24947896906377848,0.25616451913927807,0.04009815015124981,0.03910909823599691,0.002375329825750377
a4-ol1-kappa-0,1,mlp_w1,m,2048,512,2048,0.4929981231689453,285,0.016308451500336944,0.006918756541734132,0.30844882591246087,0.31369231883119764,0.052939111486578344,0.052162389086846526,0.0023429809085773073
a4-ol1-kappa-0,1,mlp_w2,h,2048,2048,512,0.9517648220062256,164,0.010811865605416375,0.0126198337816113,0.06120371117543024,0.07509750809100818,0.17794998545040566,0.14729407870234051,0.0022620018440949376
a4-ol1-kappa-0,1,attention_output_projection,z,2048,512,512,0.946131706237793,45,0.010231282247678311,0.005109079349154304,0.025715608542800132,0.030808889618251206,0.3985543094312302,0.3329693337746668,0.00228972279866378
a4-ol1-kappa-0,2,qkv_projection,a,2048,512,1536,0.6033153533935547,235,0.009979368472585872,0.005279744968933313,0.21609357323776296,0.2215799932577172,0.046197005077214484,0.04503215623497825,0.0023742970232296635
a4-ol1-kappa-0,2,mlp_w1,m,2048,512,2048,0.508941650390625,279,0.01614162382089867,0.006906221497733638,0.30084031370450864,0.3045440226230981,0.05397094433119319,0.053157085355301704,0.002346211572294574
a4-ol1-kappa-0,2,mlp_w2,h,2048,2048,512,0.9630186557769775,127,0.01072265088097245,0.012510380242850935,0.05701286878917701,0.0685557771799892,0.19045885097719412,0.15620245400386915,0.002345401415705939
a4-ol1-kappa-0,2,attention_output_projection,z,2048,512,512,0.9456138610839844,44,0.01090639021041711,0.005198634411370057,0.02605035432143486,0.031351227997839404,0.4186657147094183,0.3475136024774691,0.0023117417938324954
a4-ol1-kappa-0,3,qkv_projection,a,2048,512,1536,0.5775947570800781,243,0.010329166021734146,0.005351897755232244,0.2277000418888247,0.23263004433184972,0.04565593294001553,0.044401685308538476,0.0021766363305489463
a4-ol1-kappa-0,3,mlp_w1,m,2048,512,2048,0.5060300827026367,279,0.01621433792594142,0.006967840103295664,0.3019369329316928,0.3063580015311226,0.053939511672822335,0.05242916768939383,0.0023789982836918823
a4-ol1-kappa-0,3,mlp_w2,h,2048,2048,512,0.9586782455444336,127,0.011081667486688236,0.012617911431298034,0.056295431305022944,0.06867903042995749,0.19690347413363957,0.1613318943429251,0.0023372881961479285
a4-ol1-kappa-0,3,attention_output_projection,z,2048,512,512,0.9355592727661133,63,0.01029229558926654,0.005114450642059481,0.03167941299886803,0.03662890153341874,0.32488908773765174,0.28023571197169944,0.0023314979430175153
a4-ol1-kappa-0,4,qkv_projection,a,2048,512,1536,0.6048736572265625,226,0.010138639854333479,0.00527390354388469,0.2192062078041169,0.22477540551853045,0.04607063258441121,0.04509380408948374,0.0021630099531974468
a4-ol1-kappa-0,4,mlp_w1,m,2048,512,2048,0.4871797561645508,294,0.016251866964949777,0.006891542656352392,0.3146609429343348,0.31549593166648054,0.053164065999444364,0.05167320906865371,0.002342954183392668
a4-ol1-kappa-0,4,mlp_w2,h,2048,2048,512,0.9457621574401855,170,0.011177081985777593,0.01276609491542041,0.07360031405293134,0.08618679951386622,0.1520163848235697,0.1282735169117368,0.0023361303834871553
a4-ol1-kappa-0,4,attention_output_projection,z,2048,512,512,0.9452943801879883,43,0.010033161339124751,0.005064542746585123,0.027684881926054186,0.03276360783866814,0.36322433790342895,0.30676605129825507,0.002347684766691022
a4-ol1-kappa-0,5,qkv_projection,a,2048,512,1536,0.5529232025146484,253,0.01003088286289802,0.005290084160291231,0.2447612640949396,0.24939060784303224,0.04096610997091767,0.04022619302563304,0.0021555564421047134
a4-ol1-kappa-0,5,mlp_w1,m,2048,512,2048,0.45657920837402344,307,0.016523331379324175,0.006899817325754501,0.3267845335697952,0.334687158770487,0.050265022384611904,0.04918972404186758,0.002272142375214327
a4-ol1-kappa-0,5,mlp_w2,h,2048,2048,512,0.7932496070861816,565,0.01108770118434719,0.013045871971739615,0.1995838272593199,0.21260613051603147,0.05564532169602223,0.052217976378410164,0.0022965388509127325
a4-ol1-kappa-0,5,attention_output_projection,z,2048,512,512,0.9319953918457031,52,0.010178302296174026,0.005206656614764778,0.03262648833873392,0.037802632662288504,0.31183411554334023,0.26928170206167307,0.00221064889084701
a4-ol1-kappa-0p5,0,qkv_projection,a,2048,512,1536,0.8040122985839844,167,0.010209426069431168,0.005184578970610667,0.23109435686747803,0.2361379443205518,0.04422498131659653,0.04320220840001799,0.002220067267086208
a4-ol1-kappa-0p5,0,mlp_w1,m,2048,512,2048,0.8609466552734375,127,0.01384327519672974,0.0062128022054462936,0.1035575749734529,0.10737885698285934,0.1355087506476045,0.12891993438652,0.002331106665574616
a4-ol1-kappa-0p5,0,mlp_w2,h,2048,2048,512,0.9991910457611084,18,0.011150893737755924,0.011169884308302503,0.019757398697238113,0.030843398432395454,0.5661077084786069,0.36074970090646513,0.0021848437411557645
a4-ol1-kappa-0p5,0,attention_output_projection,z,2048,512,512,0.9957036972045898,11,0.010113605111837388,0.00484638437628746,0.015549587458372116,0.020320364832878114,0.6496816327916043,0.49686850240005576,0.00228122510704715
a4-ol1-kappa-0p5,1,qkv_projection,a,2048,512,1536,0.9630565643310547,60,0.009945648557999554,0.005114763815772725,0.08491466548991077,0.09006986740934515,0.1173199621730362,0.11053009489780326,0.002238924892272369
